,Amusement,Anger,Awe,Concentration,Confusion,Contempt,Contentment,Desire,Disappointment,Doubt,Elation,Interest,Pain,Sadness,Surprise,Triumph
Abdomen,0.011648,-0.0004007,-0.0034268,-0.0045276,0.00066839,-0.0065828,0.0087716,0.021165,-0.0034236,-0.008602,-0.0079152,-0.012596,0.0062188,0.0040741,0.0082117,-0.0099625
Academy,0.0024069,0.0024966,0.003658,-0.00032341,-0.020911,0.010218,-0.0050986,0.011862,0.0011561,-0.0060169,-0.0078464,-0.0016709,-0.0014122,0.0030454,0.0054924,-0.0046879
Acceleration,0.012159,-0.0064729,-0.0084432,-0.0039356,0.0062156,0.011455,-0.013918,-0.0090393,-0.0061832,0.0036292,0.0060433,0.0029946,6.6817e-06,-0.0083389,-0.0044343,0.042326
Accident,0.0051873,0.011726,0.0089541,-0.0039286,-0.012868,0.0038106,-0.00074207,0.0086432,-0.010295,0.01136,0.0020699,-0.0097102,0.0079194,0.0014728,0.0090758,0.0037178
Acid,0.025734,0.00010105,-0.0054313,-0.014221,0.0014516,-0.011696,0.018963,0.025144,-0.011021,0.0018843,-0.010947,-0.013951,-0.0036479,0.0028332,-0.018291,-0.011937
Acne,0.018803,-0.0075351,0.020118,-0.027304,-0.013495,-0.0071159,0.020856,0.021657,0.0088156,0.00012872,0.0019921,-0.0029555,-0.0083288,-0.0074625,0.020719,-0.012345
Acoustics,0.0050604,-0.0015329,-0.0090645,0.0050292,-0.0023336,0.0075818,-0.0093576,-0.0012599,0.0096627,-0.015873,-0.0074549,0.00058946,0.01975,0.0061137,-0.0026359,-0.0076918
Acrobatics,-0.00094332,-0.0020088,-0.0088538,0.0023824,0.0012168,0.0057807,-0.0013521,0.00087603,-0.00038146,0.0068748,0.010661,-0.0019896,0.0030724,-0.0012173,-0.0088582,0.11872
Acting,0.004122,-0.039087,-0.0035306,0.00067623,-0.0013123,0.0085521,0.0056617,-0.0034077,0.004692,0.0028399,-0.0057321,-0.0083549,-0.0037512,-0.0059981,0.00080546,-0.0020794
Activism,-0.0030223,0.0065143,0.0087678,-0.0091158,-0.0085081,-0.0013063,0.0017042,-0.0027652,-0.010531,-0.01014,-0.0030086,-0.0011382,-0.0055482,-0.025077,0.010174,-0.00017787
Actor,0.01666,-0.011639,-0.030581,-0.0087834,-0.0063314,0.005807,0.075907,0.011855,0.0098275,-0.0074642,-0.006709,-0.0073659,-0.037738,0.014225,0.0062085,-0.023036
Adaptation,-0.031546,-0.0093251,-0.0027394,0.0010724,-0.0016733,0.0076661,-0.0066759,-0.0028648,0.0041899,-0.0018938,-0.00359,-0.0014033,0.001445,-0.0032085,0.0010483,-0.0034114
Adapter,-0.0013541,-0.0063484,0.0053099,-0.005394,0.0046885,-0.0020334,0.00095453,0.0016968,0.0057773,0.011767,0.0034112,-0.0032714,0.012971,-0.0039066,-0.0060542,-0.0016424
Addiction,-0.0013382,-0.0096741,-0.015313,-0.0027692,-0.00013247,-0.014927,-0.012345,0.0055296,0.00030978,0.012323,-0.0031867,0.0028145,0.0046802,0.0036121,-0.030541,-0.0017389
Adhesive,-0.0023005,-0.013541,0.032749,-0.009964,-0.0073254,-0.0071463,0.014167,0.0062735,0.0053222,-0.0034654,0.0027813,0.036494,-0.00054083,0.001336,0.0020699,-0.0063414
Adolescence,-0.0039282,0.0023214,-0.00074016,-0.0043372,0.0068384,0.0053747,0.0082406,0.0057349,-0.0046713,0.008082,-0.00082154,-0.0020993,-0.0053277,0.010441,0.00073741,-0.0044043
Adoption,-0.0025637,0.018286,-0.0058715,-0.0037624,0.019909,-0.0039071,0.011136,-0.0015734,-0.0043102,0.0032325,-0.013283,0.00096117,0.0027312,-0.0064505,0.00091124,-0.0026171
Adventure,0.010306,-0.010509,0.0029148,-0.021109,0.00077695,-0.0010969,0.0091276,-0.0015772,-0.01158,-0.003964,0.0057887,-0.0006669,0.00050124,-0.0056713,0.014037,0.0025855
Aesthetics,0.0029677,-0.0029026,-0.011947,-0.0010189,-0.0023741,0.0012403,-0.0011951,0.0019843,0.0027399,-0.011838,-0.0037778,-0.00016856,-0.010158,-0.0074288,-0.013001,-0.0067249
Affection,-0.018614,0.00028092,-0.0075119,0.0081307,0.019301,-0.00026671,0.0068051,-0.0059235,0.013279,-0.0089005,-0.00029468,-0.0047353,0.0074406,-0.0057272,0.001112,-0.0044201
Afternoon,0.0019183,-0.0048391,0.0039385,-0.016185,0.01786,0.00024043,-0.013992,0.0042731,-0.02413,0.018046,-0.0032235,0.0018405,0.00060598,0.004322,-0.014927,-0.014271
Agriculture,-6.637e-05,-0.00046941,0.0052042,0.0095966,0.015926,0.0018825,-0.0015885,-0.0090023,0.0067823,0.012859,0.003987,-0.00275,0.0028673,0.014774,-0.0091062,0.0019517
Aircraft,0.0097729,-0.012852,0.0037929,0.040519,0.014789,0.0082102,0.014197,-0.014913,-0.011853,-0.0012738,-0.0092047,-0.051557,-0.0090166,-0.0043677,-0.045384,0.0023017
Airline,0.00014911,-0.0009578,0.0032066,-0.0032471,-0.0016588,0.0022875,0.0015933,-0.0046042,-0.0011243,-0.018464,0.002241,0.0024832,-0.0094069,-0.0016569,0.011637,0.001438
Airplane,-0.0050805,-0.00011975,0.0083198,0.0017635,0.012961,-0.0064244,0.015487,-0.014721,-0.017506,0.01037,-0.0012897,-0.01424,0.003479,0.011947,-0.013614,0.0076617
Airport,-0.01547,-0.0012181,0.008906,-0.0027086,0.0084982,-0.002058,0.0041872,0.0019916,8.3065e-05,0.013162,-0.0037793,0.0017992,0.0068089,-0.005151,0.0019009,0.0038895
Airsoft,-0.012083,0.018173,-0.0066299,-0.013736,-0.00064575,-0.0025382,0.0037194,-0.0089224,-0.0063075,0.015805,0.0045648,-0.0059517,0.020293,-0.0091285,0.0060163,0.0011362
Album,-0.0038796,-0.016351,-0.014755,0.0059318,-0.012436,0.00073672,0.002345,0.029762,0.048996,-0.015012,0.0035098,-0.047082,0.024581,-0.023043,-0.0094936,-0.0071485
Allah,0.0078684,0.0048519,0.013674,0.01102,0.0056252,0.03197,-0.00029823,-0.0043606,-0.0021384,0.00042803,0.0035756,-0.0096074,-0.0058847,-0.0093322,0.020705,0.016272
Allergy,0.017442,-0.0081992,-0.0036289,-0.027366,-0.015105,-0.017582,-0.0048782,0.041362,0.014534,-0.0094561,-0.018451,-0.015563,0.019141,0.0062902,-0.0078863,-0.0093322
