,Amusement,Anger,Awe,Concentration,Confusion,Contempt,Contentment,Desire,Disappointment,Doubt,Elation,Interest,Pain,Sadness,Surprise,Triumph
Abdomen,0.00055534,-0.0031079,-0.0010191,0.00054946,0.0034346,-0.0038983,0.00049749,-0.003063,0.0028773,-0.0037794,-0.0025317,0.010519,-0.00012089,0.00023455,-0.001938,-0.0044665
Academy,-0.0032929,-0.0015152,-0.0058831,0.008734,-0.0027123,-0.0067073,0.0065321,-0.0061919,0.011814,0.0034199,-0.0031441,-0.002889,-0.0068017,-0.0086447,0.0026771,-0.0026029
Acceleration,0.003976,-0.0051035,-0.00018813,-0.0018906,0.014545,-0.0032519,-0.0065457,-0.00011371,-0.0030568,0.0014318,-0.0021739,0.0030625,0.0037924,-6.2654e-05,-0.00023622,0.002565
Accident,0.0020581,0.0053758,0.01503,0.0040898,0.0055224,0.004885,-0.0064376,-0.0090976,0.0019738,0.0060142,-0.0018251,-0.0030804,0.0022536,0.0056948,0.0036623,0.010564
Acid,0.00689,-0.0033694,-0.002267,-0.0042084,0.0055447,-0.00067108,-0.0035911,0.019214,-0.0025075,-0.0022923,0.0042818,-0.0022243,0.0029712,0.0065832,0.0063977,-0.0019864
Acne,-1.2183e-05,-0.0056972,-0.007382,0.0013233,0.0038565,-0.010671,-0.0029801,-0.010112,0.0094028,0.0031071,-0.0094041,0.021583,-0.011055,-0.0038983,0.0050262,-0.0042587
Acoustics,-0.0010035,0.0011672,0.0047093,-0.0013207,0.0062859,0.0018664,-0.0069953,-0.0010107,0.010667,-0.0047229,-0.00012201,-0.0059987,0.013015,0.0025782,-0.012302,-0.00090682
Acrobatics,0.0024223,-0.0035709,0.00065196,-0.00057532,0.0023596,0.0036226,-0.0027155,-0.0040893,-0.004528,0.00091398,-0.0006538,-0.00046472,0.0038063,-0.0025823,0.0080153,0.0075374
Acting,0.0037677,-0.0029796,-0.0053154,7.7022e-05,0.0052489,0.0021758,0.0043667,-0.0072956,0.0041432,-0.0025259,-0.0027207,-0.00087904,-0.0098294,0.0070742,-0.0037174,-0.0055008
Activism,-0.0026055,-0.0013064,-0.00040792,-0.0031403,-0.00016828,0.001022,0.00045491,0.0022429,0.022643,-0.001591,-0.00070976,-0.0017824,-0.0010869,-0.0060341,-0.007138,-0.0031961
Actor,0.0094981,-0.0051365,-0.023707,0.011891,0.0085005,0.0034454,0.037137,-0.017824,0.0056688,-0.0082509,-0.013859,0.0090986,-0.025124,-0.0029645,-0.0063294,-0.020246
Adaptation,-0.0029634,0.0056497,-0.000616,-0.0062582,0.0021177,0.0055832,0.016141,-0.0011301,-0.0018344,-0.0022236,0.007612,-0.0073534,-7.0325e-05,0.0030042,0.011639,-0.0026914
Adapter,0.0028471,-0.0036523,-0.0091566,-0.016748,0.032483,0.0093322,-0.0077892,-0.0075306,-0.003175,0.0069796,-0.0027398,0.0042649,-0.0073779,-0.0093012,0.0020654,0.012903
