,Amusement,Anger,Awe,Concentration,Confusion,Contempt,Contentment,Desire,Disappointment,Doubt,Elation,Interest,Pain,Sadness,Surprise,Triumph
Abdomen,-0.0021991,0.00091475,-0.0095793,-0.019259,-0.0083307,-0.0087916,-0.0066582,-0.0052936,0.0044968,-0.0059204,-0.0061077,0.0031041,-0.0014216,-0.030328,0.0061526,-0.0076955
Academy,0.01172,0.036629,-0.019912,0.010876,0.013891,-0.0054437,-0.0090887,-0.0035453,-0.0026263,0.0037979,-0.016884,0.0090395,5.2099e-05,-0.016841,-0.0049007,-0.0091594
Acceleration,-0.016115,-0.018761,0.011801,-0.038037,-0.022956,0.031819,-0.015593,-0.0010743,-0.015388,0.0078415,0.0043809,-0.012136,0.0089707,-0.008677,-0.017626,0.01176
Accident,-0.0044227,0.0071017,0.028352,4.8276e-05,0.020437,-0.0017928,0.0030509,-0.0095013,-0.0052216,-0.0049729,-0.00055801,0.0024563,0.006492,0.0074419,0.0030564,0.02363
Acid,-0.025384,-0.026401,-0.036834,-0.011096,0.063187,-0.0049563,0.00022904,-0.0036269,0.033841,0.0054771,-0.00019282,-0.016858,-0.011102,-0.0020687,-9.2918e-05,-0.031009
Acne,-0.013054,-0.003962,-0.012321,-0.0061022,-0.013518,-0.00018964,-0.0042988,-0.0023232,0.0027135,0.0079242,-0.0013785,0.016068,-0.011823,-0.011782,0.055709,-0.0099119
Acoustics,0.00069017,-0.012356,-0.016427,-0.0022089,0.0040769,-0.003899,-0.0030533,0.0063583,0.027084,-0.01939,-0.011758,-0.011261,0.025391,0.010788,-0.012319,-0.012365
Acrobatics,-0.00021424,-0.001387,0.0063179,-0.00058509,0.0047692,-0.0017186,0.0021194,-0.00059542,0.012005,0.0035377,-0.00099285,-0.0013358,0.0049575,0.0013259,0.001069,-0.0033073
Acting,-0.00037584,-0.0032205,-0.00078894,0.0098789,-0.0098156,-0.0078401,0.0032086,-0.0010856,-0.0010509,-0.0023611,-0.00047016,-0.001571,-0.0081291,-0.0055045,-0.0024765,0.0041998
Activism,-0.0064482,-0.001283,-0.0049087,0.006982,0.0022044,0.0058451,-0.0068695,-0.0053566,-0.0051086,0.0069194,-0.0041106,0.012091,-0.0057829,-0.01128,0.0009368,-0.0035145
Actor,0.0033744,-0.010653,-0.026821,0.00016988,0.010452,0.011234,0.0133,-0.014351,0.02013,0.0034609,-0.019118,-0.011347,-0.024882,-0.014623,-0.014509,-0.026546
Adaptation,-0.007825,0.0025863,0.0057078,0.0058689,-0.0067389,-0.0047998,-0.0052994,-0.0012279,-0.00040759,0.011061,0.0096011,-0.0021243,0.013186,0.0034249,-0.0022305,-0.0033898
Adapter,0.0061224,-0.0036434,0.010597,0.010513,-0.0053924,-0.0076616,0.0017736,-0.0012505,0.010057,0.0012223,0.0011569,0.0060399,0.00043245,-0.0036298,-0.020982,-0.0022428
Addiction,-0.0039802,-0.0025109,-0.0070125,0.0045516,-0.0080368,-0.009036,-0.0077969,-0.00052091,-0.0025158,0.0031557,-0.0057066,0.012116,0.005536,-0.0042877,0.0031254,-0.0078985
Adhesive,-0.0026286,-0.020652,0.010277,0.013352,-0.012741,-0.001666,0.00065043,0.010662,0.018037,-0.0018415,0.00021121,0.010706,0.011445,0.0013516,-0.016659,0.00074569
Adolescence,0.011329,0.0020891,-0.0054343,-0.00073122,0.0026726,-0.0078629,0.025778,-0.0036314,-0.017639,0.0040855,0.016826,0.0038423,-0.0018709,0.030409,-0.0003503,0.0026826
Adoption,-0.0089052,-0.00751,-0.010294,0.02328,-0.0015707,-0.0081742,-0.0061084,-0.0111,-0.0020707,-0.00086143,-0.0021237,0.019146,-0.01623,0.0082151,-0.0066981,-0.0057437
Adventure,0.002035,0.013966,-0.0051757,-0.013154,0.015704,0.010559,0.0011123,0.0088934,0.0021959,-0.015156,0.0027231,0.0064838,0.005926,-0.0039014,0.0053156,0.00048148
Aesthetics,-0.014829,-0.010586,-0.0060145,-0.0064746,-0.018505,-0.011271,-0.00028426,-0.011663,-0.0013853,0.017704,-0.012515,0.011381,-0.038594,0.011014,0.002254,-0.024343
Affection,-0.015218,-0.0017845,0.0013141,0.00012948,-0.0062349,-0.0020185,0.0023543,0.016571,0.01652,-0.01133,0.0018012,-0.0088602,0.0025814,-0.0031227,0.007157,0.0022405
Afternoon,0.018037,0.0044667,-0.0094098,0.00083273,-0.00081402,6.5312e-05,0.0030859,-0.0020245,0.011564,-0.027813,0.012377,0.011394,-0.016985,-0.017156,-0.00044201,0.0017787
Agriculture,-0.0030917,-0.0093011,0.0073431,0.011848,0.024803,0.0043023,-0.0049907,-0.0041551,-0.0070104,0.01253,0.0030449,0.0023665,0.0023769,0.0065658,-0.0073879,-0.0020383
Aircraft,-0.0077678,-0.00034099,-0.0036475,0.0040269,-0.0065731,0.019221,-0.0033227,0.0045548,-0.010566,0.0031216,-0.0010016,-0.0015186,0.0066853,-0.002112,-0.0024786,0.014123
Airline,0.0095436,-0.015215,-0.00088432,-0.0018996,0.0035178,0.013256,-0.004593,-0.0043493,0.020117,0.017909,-0.0019154,-2.8755e-05,-0.0036355,0.0033189,-0.011029,-0.00566
Airplane,-0.0023691,-0.0073998,0.0075044,-0.00095298,0.0077213,-0.00098392,0.0075818,-0.0063608,-0.0064736,0.016318,0.00010503,0.003496,-0.0002271,-0.00073346,-0.0070141,-0.001021
Airport,0.0095811,-0.0059971,-0.0011381,0.0083663,0.0026525,-0.00047951,-0.0015849,-0.010353,-0.019373,0.0072659,0.0012786,-0.007123,0.0062166,0.00084918,-0.015257,0.0046784
Airsoft,-0.013738,-0.0036115,0.0053799,-0.010785,0.0081664,-0.0011791,-0.0028849,0.0096672,0.001854,0.011694,-0.00018297,0.0051966,0.026803,-0.0035426,-0.0041796,0.0054921
Album,0.0039747,-0.016592,-0.027426,-0.0054553,0.0078663,0.022563,0.0083868,0.027237,0.0083313,-0.027942,0.0066106,-0.019263,0.012104,-0.0056242,-0.004344,-0.017097
Allah,-0.024907,-0.01197,-0.015234,0.023823,0.0073405,0.017174,0.0028532,-0.014092,0.013688,-0.0022789,0.0032037,-0.014075,-0.0045666,0.0085588,-0.0025921,-0.0099973
Allergy,-0.008643,0.0062881,-1.1229e-05,-0.0036273,0.0083492,-0.0013333,-0.0040248,-0.0041687,0.0021983,0.015571,0.0013365,0.012836,-0.016701,-0.0022062,-0.0036914,-0.001276
Almond,-0.050863,-0.0072895,0.01612,-0.00068739,-0.00035128,0.0060003,-0.0055339,0.024719,-0.0044235,0.0030949,0.010145,0.011856,0.013051,0.00037682,0.0019428,0.0054292
Aluminium,-0.01067,-0.0034131,0.01261,0.0068178,-0.027008,0.0014067,-0.0089356,-0.0039022,0.012296,0.020732,0.0053413,-0.0042017,0.016204,0.00086092,-0.030333,0.010008
Amateur,0.0067486,0.002862,-0.0016219,0.00081428,-0.031104,0.00061623,-0.00047988,0.0056601,-0.015553,0.017102,-0.0016416,-0.027513,-0.0048818,0.0015677,-0.0049665,-0.0019746
Ambulance,-0.0031271,0.0036567,0.0043435,-0.002743,0.0028061,0.0010767,-0.003105,-0.0044334,-0.0051793,0.0053794,0.025241,-0.0022027,0.029107,-0.0018059,0.0033384,0.03333
Ammunition,-0.0014069,-0.00014018,-0.00061671,-0.0043567,0.0023714,0.011164,-0.0072867,-0.0062382,-0.0073084,0.0032781,-0.031073,0.0017722,-0.030263,-0.061602,0.00047131,-0.00075704
Analysis,-0.0013614,-0.01551,-0.0064351,0.006594,-0.00076956,0.0082994,-0.0084142,-0.0042417,-0.0020624,0.0065242,-0.0049084,0.0079287,-0.0043464,-0.024733,-0.001976,0.00051826
Anecdote,-0.0070521,-0.0016486,0.0017203,0.011035,-0.0043164,-0.001734,0.010115,-0.0085534,0.0007092,-0.0094263,-0.0084911,-0.014594,0.0043471,0.014532,-0.0069766,0.0033984
Angel,-0.0050323,-0.0021884,-0.0055702,0.0080236,0.0065214,-0.0018276,0.0057334,0.00098317,-0.00063074,-0.019664,-0.0071946,-0.010843,-0.0056383,0.011928,0.003907,-0.0098022
Anger,0.015083,-0.0019564,-0.021824,0.0088182,0.010587,0.016156,-0.0078251,0.00035295,-0.0018363,-0.0060851,0.0045225,-0.0042412,0.0037634,-0.0019705,0.014657,-0.0035952
Angle,-0.0029962,-0.010187,0.0023697,0.012163,-0.010448,-0.0054321,0.0012311,-0.0079323,0.0067738,-0.0087161,-0.0036727,0.001317,-0.0039248,0.0019057,-0.015905,0.0012525
Animal,0.014673,0.016134,0.03512,-0.03197,-0.0054398,-0.035184,-0.0097016,0.014187,-0.036613,-0.031702,0.017837,-0.024325,0.020193,0.036537,0.038489,-0.010251
Animation,-0.0083209,0.040464,-0.0045513,-0.028383,-0.015637,0.0047071,-0.019109,0.050275,-0.011622,-0.042455,0.021582,-0.025007,-0.0019773,-0.011516,0.084635,0.010149
Anniversary,0.012057,-0.0081533,-0.0004701,0.0068708,-0.0014658,0.0017134,-0.0010528,0.0011178,-0.0077443,-0.00041269,-0.00017293,-0.004952,0.0027387,-0.0069393,-0.0022138,-0.0010762
Ant,-0.011343,0.064191,0.0036837,0.0055866,0.03541,0.00096664,0.0046119,0.00096675,-0.00017199,-0.0021452,0.0036257,-0.012134,0.015784,-0.0034186,-0.001892,0.0016542
Anthem,0.0033339,-0.0061783,-0.01296,-0.00036075,-0.00071566,-0.0012984,-0.01029,0.0041017,0.0034024,-0.004444,5.9919e-05,-0.0090556,0.0051194,0.0083792,-0.00099821,0.0052029
Anxiety,-0.011322,0.0040635,-0.017636,-0.012117,-0.017874,-0.0041061,0.031605,0.0054498,0.0048524,0.0020839,-0.0028624,0.0036318,-0.0060898,-0.0060531,0.0057788,-0.011563
Apartment,-0.0052084,-0.0045994,0.0019745,-0.010276,0.0019499,-0.0011537,0.011344,-0.0073349,-0.0039254,0.0041464,0.011519,-0.00033689,0.0074153,-0.009253,-0.010634,-0.00088374
Appetite,-0.0090713,-0.0049029,0.0055554,-0.0037008,-0.010142,-0.011849,0.02626,-0.0053794,0.0026841,-0.0031678,0.0041116,0.019516,-0.013399,-0.011549,-0.0036808,-0.0080289
Aptitude,-0.0042992,-0.0034457,-0.0029072,0.0011302,-0.010749,-0.010421,0.013781,0.0012432,-0.001059,0.0034264,-0.0026024,-0.018763,0.021523,-0.0089223,-0.0029975,-0.00028099
Aquarium,-0.0043691,0.00098555,0.14855,-0.0086289,0.012041,-0.013777,-0.0097072,0.0052609,0.035311,0.020536,0.011942,0.010625,0.0633,0.0030546,-0.015749,0.0065291
Architect,-0.0068245,-0.0079038,-0.001646,0.013165,-0.0069687,0.010836,-0.0061431,-0.0072558,-0.0032241,0.0043046,-0.0068581,0.0092569,-0.0051788,-0.01292,-0.0027216,-0.004264
Arm,-0.01397,-0.0026352,-0.0033955,0.0062354,-0.0079742,-0.00075515,-0.0092381,0.0048776,0.0072378,-0.00046059,-0.0053458,-0.013774,0.0067771,-0.0074629,-0.013554,0.014439
Armour,-0.0017304,0.007997,0.0028926,0.0010379,0.00072752,0.048811,-0.0029261,-0.0071153,0.0060258,-0.0029832,0.005371,-0.010976,-0.0068768,-0.0013738,0.0032845,0.0078901
Arrest,-0.0071174,-0.009843,-0.0086985,-0.011334,0.0084801,0.022317,-0.016293,-0.0024691,0.0085248,-0.0038922,0.0021014,-0.013394,-0.0031638,-0.012205,-0.0053809,0.00047664
Art,0.013284,-0.0041013,-0.017118,-0.0021842,-0.0018225,0.0082369,-0.0043281,0.0023057,0.011767,-0.03875,0.0044218,0.021143,-0.0084112,0.0020504,-0.0038024,-0.0097394
Artist,-0.0044604,0.00064323,-0.020626,0.0037752,0.0039918,0.009409,0.010537,0.012678,-0.0021847,-0.026385,-0.059313,-0.017196,0.0016532,-0.0012273,0.0088906,0.0073623
Assault,-0.0014221,0.00047452,-0.0065781,-0.0051759,4.5288e-05,0.0013008,-0.0013479,-0.0087955,0.0046984,0.012142,-0.00053738,-0.015817,0.0027832,-0.0057156,0.022863,-0.001479
Asset,0.027164,-0.0014629,-0.0019505,0.013687,-0.0028179,-0.008026,0.017881,0.0038584,-0.0035279,-0.0026888,-0.00042127,0.0077416,-0.0027832,-0.0099321,0.00098587,0.0048258
Astrology,-0.012242,-0.0031337,-0.006498,0.016931,0.034812,-0.031761,-0.0049506,-0.0073077,-0.00075825,-0.017347,-0.0067696,0.044282,-0.028268,0.0093779,0.019207,-0.0066242
Athlete,0.011166,-0.010493,-0.0085574,0.0033265,0.015566,0.0088555,0.0042036,-0.0098341,-0.0028116,-0.0033376,-0.00086872,0.0020193,-0.0041409,-0.0098353,-0.0067374,-0.0022089
Atmosphere,-0.021454,0.01097,0.00097456,0.002091,0.0016673,-0.0044729,-0.0071052,-0.006284,0.010307,-0.0028375,0.0075499,-0.0045966,-0.00059198,0.010247,0.0097629,0.0073983
Attention,-0.0051107,-0.0036016,-0.02124,-0.0083238,-0.0089041,0.0071173,-0.0038975,0.015589,-0.0061406,-0.001932,-0.0034034,0.0033916,-0.0046237,0.0070228,-0.0076241,-0.0032761
