,Amusement,Anger,Awe,Concentration,Confusion,Contempt,Contentment,Desire,Disappointment,Doubt,Elation,Interest,Pain,Sadness,Surprise,Triumph
Abdomen,0.047197,-0.042479,-0.024212,-0.051299,-0.035746,-0.022115,0.064904,0.039825,0.011887,-0.019365,-0.021716,-0.043756,-0.0055657,-0.0053708,-0.012085,-0.043056
Academy,0.015954,-0.0061526,-0.0064588,0.016551,-0.054482,-0.00028107,-0.0012331,-0.0034205,-0.0076187,0.00023488,-0.0037113,0.020712,0.0013744,-0.0038588,-0.0098947,0.059255
Acceleration,-0.0027734,-0.00066456,-0.0018925,0.01317,-0.0025667,0.0043696,0.0039854,-0.00031791,0.021218,0.016179,0.002398,-0.0144,0.0021186,-0.0016174,-0.0077709,0.0083634
Accident,-0.004999,0.012031,-0.0041725,0.0090222,0.0036332,0.00052323,-0.0036397,-0.01843,0.0084017,0.013789,-0.0041771,-0.019912,-0.0011853,0.0097719,-0.0052635,0.0010305
Acid,-0.00395,-0.011072,0.004202,0.012479,0.019963,-0.0047485,0.006959,0.0071214,-0.0095754,-0.012921,0.023068,-0.030007,0.0080926,0.00031418,-0.0011981,-0.010677
Acne,0.0031002,-0.026551,-0.032629,-0.035648,0.004309,-0.013193,0.02032,0.031909,-0.010906,-0.015486,-0.011732,-0.016327,-0.014729,-0.0045784,0.14136,-0.0074793
Acoustics,-0.0041129,-0.0033998,-0.0028753,0.017527,0.028859,0.028677,-0.0049967,-0.0086751,0.02947,-0.017549,-0.0016896,-0.065842,-0.004977,-0.0013819,-0.014934,-0.0065263
Acrobatics,-0.0032383,0.0021623,0.0097505,-0.001383,0.0021707,0.020428,-0.011834,0.0029081,-0.0020361,-0.00091081,-0.00030995,-0.00085441,-0.00093955,-0.00056877,0.0057511,0.009132
Acting,0.0015473,-0.012349,-0.0068025,-0.008652,-0.0092394,0.0093769,0.004522,-0.01217,-0.004628,-0.028914,0.013036,-0.0078676,0.0005304,0.00025709,0.036895,-0.018418
Activism,-0.0047686,0.0017469,0.00032377,-0.0042667,-0.0064996,0.019525,-0.0097723,-0.0015676,-0.0001391,-0.02431,-0.00072621,-0.018231,-0.0073425,-0.020986,-0.00086126,-0.010459
Actor,0.051336,-0.006833,-0.076044,0.001527,0.075846,-0.0040132,0.043351,-0.035552,0.032492,-0.058376,-0.041096,0.046593,-0.06003,0.043591,0.00021678,-0.038771
Adaptation,0.0015767,0.014098,-0.0063692,0.00076054,-0.0032529,-0.00056752,0.0012895,-0.0041225,0.0076822,-0.0016771,-0.0041757,-0.024116,0.013196,0.00076298,-0.011185,0.0011848
Adapter,0.028338,0.0010206,-0.0030355,0.0029667,0.013144,0.011548,-0.00016954,-0.001262,-0.002891,0.0097479,0.00070495,-0.008648,-0.0070641,0.025065,-2.5295e-05,-0.0083054
Addiction,-0.0055422,-0.0067894,-0.0072298,-0.011044,0.043747,-0.0062997,-0.00090658,0.071099,0.0056212,-0.00090006,-0.0022307,-0.01967,0.0039107,0.0036844,0.0018651,-0.0064964
Adhesive,0.0078315,0.0018158,-0.071199,0.0032873,-0.0057505,-0.0085435,0.013864,0.0034369,0.0053386,-0.0022634,0.020363,0.0088887,-0.0023336,-0.023313,0.062088,-0.0021728
Adolescence,-0.0049008,-0.00048463,-0.010515,-0.0074006,0.021596,-0.010788,-0.0092188,0.002406,-0.011327,-0.0082412,-0.0012539,0.011599,-0.0020953,0.0084586,0.055299,0.0062072
Adoption,0.0062424,-0.00070585,0.0079539,0.004189,0.010814,-0.005843,-0.014997,0.0026351,0.0079051,0.0176,0.045695,0.003458,0.010266,0.0088175,0.017812,0.0050969
Adventure,-0.0098177,0.0049383,-0.0022873,-0.022919,0.0040616,0.015424,-0.0052743,-0.0020069,-0.0084348,-0.0092641,-0.0024962,-0.0031722,-0.0060635,0.017368,0.019611,0.0043166
Aesthetics,-0.024929,-0.0064853,-0.0089231,0.0047166,-0.0075763,0.0017038,-0.029612,-0.0022029,-0.0044284,0.0031492,-0.0057065,0.034193,-0.0046627,-0.0069535,0.002455,-0.0061349
Affection,0.022029,0.0083334,-0.03711,0.014532,0.057898,-0.01725,0.0034518,-0.020429,0.01594,-0.060519,-0.012965,0.0082626,-0.014468,0.039885,0.02665,-0.029626
Afternoon,0.0083545,-0.0014999,0.0088893,-0.012082,0.0067113,0.0033536,-0.008512,-0.002382,0.0078972,0.010708,-0.0021612,0.004746,0.0032876,-0.010827,0.026218,0.006876
Agriculture,-0.0030541,0.0054135,0.026151,-0.0053771,0.019052,-6.393e-05,0.0016828,-0.0036974,0.01212,0.032047,0.014239,0.0036198,0.019655,0.012763,-0.0058192,0.039328
Aircraft,-0.0062682,0.0030197,-0.001632,0.0066985,0.050959,0.0081568,0.00032343,-0.005574,-0.0091281,0.007238,0.0078657,-0.0010691,-0.0008089,0.061274,-0.0098949,0.0047774
Airline,0.026484,-0.0059342,-0.0011904,0.0038088,0.0055046,0.0045449,-0.0015992,-0.0054619,-0.0059324,-0.0067253,0.0030094,-0.00035728,-0.016512,-0.0065027,-0.015804,-0.0078315
Airplane,-0.0074001,0.0070006,0.012874,0.00066076,0.0037028,0.0037158,-0.0070013,-0.0078778,-0.012661,0.017228,0.012029,-0.0096774,0.0027832,0.042656,-0.0050366,0.0089249
Airport,0.0024255,0.0012576,0.0072063,0.0065384,0.0044257,0.0072134,-0.0033617,-0.011515,-0.012301,0.0060207,0.019438,0.0052956,-0.0070923,0.00060167,-0.011125,-0.00237
Airsoft,-0.0053689,-0.017113,-0.0016957,-0.018841,0.030607,0.0028637,0.00083698,0.0039153,0.0073655,0.022215,0.0071452,-0.00062777,0.0087741,-0.0034155,-0.029165,0.0072476
Album,-0.012828,-0.0094333,-0.010834,-0.0033132,-0.012465,-0.010366,0.015989,-0.048884,0.03391,-0.027023,-0.0078677,0.0051802,-0.0050838,0.017462,-0.0085949,-0.094224
Allah,0.00059382,-5.9326e-05,-0.018088,-0.0011787,0.0022609,-0.0027566,-0.0011372,0.010077,-0.0015144,-0.012242,0.0012468,0.0058688,0.013646,-0.0032927,2.233e-05,-0.002811
Allergy,-0.0036165,-0.024777,-0.016271,-0.056615,-0.019987,-0.0080947,0.025556,-0.0022991,0.021876,-0.015384,0.002303,-0.059588,-0.0089157,0.037028,0.030213,-0.042885
